
site_id,site_name,latitude,longitude,area_sqm,solar_irradiance_kwh,grid_distance_km,slope_degrees,road_distance_km,elevation_m,land_type,region
1,Periyanaickenpalayam Site,11.0765,76.9872,45000,5.8,2.5,3.2,0.8,425,Agricultural,Tamil Nadu
2,Avinashi Industrial Zone,11.1936,77.2686,62000,5.6,1.2,1.8,0.3,380,Industrial,Tamil Nadu
3,Tiruppur North Field,11.1271,77.3661,38000,5.7,4.8,5.1,1.2,295,Agricultural,Tamil Nadu
4,Udumalpet Solar Park,10.5857,77.2486,78000,6.1,0.8,2.1,0.5,515,Wasteland,Tamil Nadu
5,Pollachi East Zone,10.6689,77.0448,52000,5.9,3.2,4.5,1.8,325,Agricultural,Tamil Nadu
6,Valparai Valley Site,10.3269,76.9511,15000,4.2,12.5,15.8,4.2,1180,Hilly,Tamil Nadu
7,Coimbatore Tech Park,11.0168,76.9558,28000,5.4,1.5,2.8,0.4,415,Industrial,Tamil Nadu
8,Mettupalayam Plains,11.3021,76.9407,68000,5.8,2.1,1.2,0.9,335,Agricultural,Tamil Nadu
9,Sulur Airbase Adjacent,11.0244,77.1686,95000,6.2,0.5,0.8,0.2,405,Open Land,Tamil Nadu
10,Annur Rural Site,11.2356,77.1062,42000,5.5,5.5,6.2,2.1,385,Agricultural,Tamil Nadu
11,Kinathukadavu South,10.7708,77.0272,55000,6.0,1.8,2.5,0.7,445,Wasteland,Tamil Nadu
12,Madukkarai Junction,10.9115,76.9626,48000,5.6,3.8,4.1,1.5,380,Mixed Use,Tamil Nadu
13,Karamadai Forest Edge,11.2419,76.9619,25000,5.1,8.2,9.5,3.5,515,Forest Adjacent,Tamil Nadu
14,Negamam Agricultural,11.0456,77.2914,72000,5.9,1.9,1.5,0.6,365,Agricultural,Tamil Nadu
15,Thondamuthur Reservoir,11.0029,76.8372,38000,5.4,6.5,7.8,2.8,525,Near Water Body,Tamil Nadu
16,Sarkarsamakulam Plains,11.1889,77.4261,82000,6.1,1.1,1.9,0.4,295,Agricultural,Tamil Nadu
17,Palladam Town Outskirts,10.9989,77.2861,44000,5.7,4.2,3.8,1.4,340,Peri-Urban,Tamil Nadu
18,Kangeyam Industrial,10.9889,77.5628,58000,5.8,2.8,2.2,0.9,285,Industrial,Tamil Nadu
19,Dharapuram Solar Field,10.7378,77.5361,65000,6.0,1.5,1.1,0.5,265,Open Land,Tamil Nadu
20,Vellakoil Eastern Tract,10.9414,77.7161,48000,5.9,3.5,3.2,1.2,275,Agricultural,Tamil Nadu
21,Erode Border Zone,11.3422,77.7167,52000,5.7,2.9,2.8,1.0,245,Mixed Use,Tamil Nadu
22,Bhavani Riverside,11.4456,77.6806,35000,5.5,5.8,4.5,2.2,185,Near Water Body,Tamil Nadu
